code,name,category_path,unit,first_date,last_date,n_observations,n_quoted
847,- d.o.c. classico ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VALPOLICELLA (prezzo E/litro),EUR/L,2021-09-20,2024-02-29,132,75
848,- d.o.c.   ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VALPOLICELLA (prezzo E/litro),EUR/L,2021-09-20,2024-02-29,147,121
849,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > SOAVE (prezzo E/litro ),EUR/L,2021-09-20,2022-11-28,77,72
850,- d.o.c. classico (prezzo E/litro),VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > SOAVE (prezzo E/litro ),EUR/L,2021-09-20,2022-11-28,77,72
851,d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > CUSTOZA (quotazione base per litro),EUR/L,2021-09-20,2022-11-28,76,70
852,- d.o.c. garganega,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > GARDA (quotazione base per litro),EUR/L,2021-09-20,2022-11-28,76,69
853,- d.o.c. pinot grigio (prezzo E/litro),Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > GARDA (quotazione base per litro),EUR/L,2021-09-20,2022-10-31,70,64
854,d.o.c. chardonnay (prezzo E/litro),Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > GARDA (quotazione base per litro),EUR/L,2021-09-20,2022-10-31,70,64
855,d.o.c. bianco,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > GARDA (quotazione base per litro),EUR/L,2021-09-20,2022-11-28,76,70
856,- pinot grigio,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VALDADIGE (quotazione base per litro),EUR/L,2021-09-20,2022-11-28,58,9
